update_step,loss
1,0.027561254799365997
2,0.0059608882293105125
3,0.003375963307917118
4,0.0015518339350819588
5,0.0006358782411552966
6,0.0009180855704471469
7,0.0015123840421438217
8,0.0015152661362662911
9,0.0013581463135778904
10,0.0014620028669014573
11,0.0015973725821822882
12,0.0015244265086948872
13,0.0010364623740315437
14,0.0006654119933955371
15,0.0009147405507974327
16,0.0005087197641842067
17,0.0007109681027941406
18,0.0005713955033570528
19,0.0006370212649926543
20,0.0008443000260740519
21,0.000573119381442666
22,0.0007990047452040017
23,0.0009107127552852035
24,0.0008523669675923884
25,0.014054574072360992
26,0.0004825832729693502
27,0.0006020152941346169
28,0.0006006595212966204
29,0.0006900817388668656
30,0.0003834323142655194
31,0.0003681810339912772
32,0.00032936682691797614
33,0.0006618069019168615
34,0.000402092351578176
35,0.00042188516817986965
36,0.0005166272749193013
37,0.00040005752816796303
38,0.0004962732782587409
39,0.0004378651501610875
40,0.0005958650726824999
41,0.0007663355208933353
42,0.0005692478734999895
43,0.00030219764448702335
44,0.012473669834434986
45,0.0004897798644378781
46,0.00042295869207009673
47,0.01196208968758583
48,0.0004034818848595023
49,0.0004339266160968691
50,0.0006740451790392399
51,0.0004976605996489525
52,0.00035447816480882466
53,0.0002933514479082078
54,0.00047319952864199877
55,0.0003688932047225535
56,0.00044363574124872684
57,0.0005870312452316284
58,0.0003788163303397596
59,0.000530916906427592
60,0.00025533599546179175
61,0.0003870827204082161
62,0.0004524103133007884
63,0.000310256116790697
64,0.0005161745939403772
65,0.0002878383675124496
66,0.0002975598908960819
67,0.00048499746480956674
68,0.01504171546548605
69,0.024604730308055878
70,0.0005101473652757704
